substrate,tf
ECM38,TUP1
ECM38,YAP1
ECM4,IXR1
ECM4,MSN2
ECM4,RGT1
ECM4,SOK2
ECM4,YAP1
ECM5,STE12
EDC2,ABF1
EDC2,HSF1
EDC2,RAP1
EDC2,SOK2
EEB1,SOK2
EFB1,ABF1
EFB1,HSF1
EFB1,RAP1
EFT2,SOK2
EGD1,RAP1
EGD2,ACE2
EGD2,ROX1
EGT2,ACE2
EGT2,MCM1
EGT2,MSN2
EGT2,RAP1
EGT2,SOK2
EGT2,SWI5
EGT2,YAP1
EHD3,STE12
EHT1,INO4
EHT1,YAP1
EKI1,INO4
ELO1,ASH1
ELO1,FLO8
ELO1,GCR2
ELO1,MBP1
ELO1,MSN2
ELO1,NRG1
ELO1,SWI4
ELO1,SWI6
ELP2,CBF1
ELP3,SFP1
EMG1,SWI4
EMI1,MSN2
EMI2,FHL1
EMI2,MSN2
EMI2,PDR1
EMI2,SOK2
EMP47,TEC1
ENA5,YRM1
ENB1,AFT1
ENB1,AFT2
ENB1,TUP1
ENO1,CBF1
ENO1,CIN5
ENO1,GCR1
ENO1,INO4
ENO1,MET4
ENO1,MSN2
ENO1,PDR1
ENO1,PHO4
ENO1,RAP1
ENO1,SOK2
ENO1,SWI5
ENO1,TYE7
ENO2,GCR1
ENO2,GCR2
ENO2,HSF1
ENO2,RAP1
ENO2,SOK2
ENO2,ZAP1
EPL1,MSN2
EPT1,ABF1
EPT1,RAP1
ERC1,PHO4
ERC1,RAP1
ERC1,TUP1
ERG1,RAP1
ERG11,HAP1
ERG11,RAP1
ERG11,SOK2
ERG11,STE12
ERG11,YAP1
ERG12,REB1
ERG12,YRM1
ERG13,HAP1
ERG13,RAP1
ERG2,ECM22
ERG2,HAP1
ERG2,HCM1
ERG2,MOT3
ERG2,MSN2
ERG20,CBF1
ERG20,INO4
ERG24,DAL82
ERG25,RAP1
ERG25,SOK2
ERG25,STE12
ERG25,SWI5
ERG25,TEC1
ERG25,YAP1
ERG27,PDR1
ERG28,CBF1
ERG28,ECM22
ERG28,MSN2
ERG28,RFX1
ERG28,RPN4
ERG28,SOK2
ERG28,YAP1
ERG3,ECM22
ERG3,HAP1
ERG3,MCM1
ERG3,MSN2
ERG3,RDS2
ERG4,ECM22
ERG4,GCR1
ERG4,RPN4
ERG5,HAP1
ERG5,RAP1
ERG5,SOK2
ERG5,YAP1
ERG6,ACE2
ERG6,MSN2
ERG8,CAD1
ERG8,HAP1
ERG9,ASH1
ERG9,HAP1
ERG9,MSN2
ERO1,HSF1
ERO1,MSN2
ERO1,YAP1
ERO1,YRM1
ERP2,ABF1
ERP2,MSN2
ERP5,YHP1
ERT1,STE12
ERV14,MSN2
ERV15,CIN5
ERV25,ABF1
ERV29,RAP1
ERV46,ABF1
ESBP6,ARO80
ESBP6,FHL1
ESBP6,GCN4
ESC8,ABF1
ESC8,MBP1
ESF1,ABF1
ESF1,MSN2
ESF1,STE12
ESF1,TEC1
ESF1,YRM1
ESF2,SFP1
EST3,STE12
EUG1,HAC1
EXG1,ACE2
EXG1,MSN2
EXG1,RAP1
EXG1,RLM1
EXG1,SKO1
EXG1,SOK2
EXG1,SWI4
EXG1,SWI5
EXG1,SWI6
EXG2,TEC1
EXO5,ABF1
FAA1,CIN5
FAA1,MSN2
FAA1,RAP1
FAA1,SOK2
FAA1,SPT23
FAA3,ACE2
FAA3,SOK2
FAA3,STE12
FAA3,SWI5
FAA4,RFX1
FAA4,SPT23
FAF1,RAP1
FAL1,RAP1
FAP7,YAP1
FAR1,MCM1
FAR1,STE12
FAR8,INO4
FAS1,ABF1
FAS1,INO4
FAS1,MSN2
FAS1,OPI1
FAS1,RAP1
FAS2,INO4
FAS2,OPI1
FAS2,RAP1
FAS2,STE12
FAS2,TUP1
FAT1,MCM1
FAU1,SFP1
FBA1,CBF1
FBA1,GCN4
FBA1,GCR2
FBA1,RAP1
FBA1,TUP1
FBA1,TYE7
FCF1,ABF1
FCF1,MSN2
FCF2,ABF1
FCF2,PUT3
FCY2,MSN2
FCY2,RAP1
FCY2,TUP1
FES1,HSF1
FES1,MSN2
FES1,SPT23
FET3,AFT1
FET3,AFT2
FET3,MSN2
FET3,STE12
FET4,AFT1
FET4,CBF1
FET4,MAC1
FET4,MSN2
FET4,RIM101
FET4,ROX1
FET4,SKN7
FET4,STE12
FET4,TEC1
FET5,AFT2
FHN1,STE12
FIG1,STE12
FIG1,SUM1
FIG1,TEC1
FIG2,STE12
FIG2,TEC1
FIG4,MSN2
FIN1,ABF1
FIP1,ABF1
FIP1,STE12
FIR1,RAP1
FIT2,AFT1
FIT2,ASH1
FIT2,CIN5
FIT2,LEU3
FIT2,RAP1
FIT3,AFT1
FIT3,AFT2
FIT3,PUT3
FKH2,RAP1
FKS1,MSN2
FKS1,RAP1
FKS1,RLM1
FKS1,SOK2
FKS1,STE12
FKS1,SWI4
FLC1,CBF1
FLC1,MSN2
FLC1,RAP1
FLC2,BAS1
FLC2,SOK2
FLD1,STE12
FLO8,STE12
FLO8,TEC1
FLR1,IXR1
FLR1,MSN2
FLR1,PDR1
FLR1,PDR3
FLR1,YAP1
FLR1,YRR1
FMC1,NRG1
FMP23,GCN4
FMP23,STE12
FMP25,YAP1
FMP40,FHL1
FMP40,STE12
FMP43,ADR1
FMP43,AFT1
FMP43,CIN5
FMP43,MSN2
FMP43,REB1
FMP43,SKO1
FMP43,STE12
FMP52,ASH1
FOB1,SWI5
FOL1,MSS11
FOL2,GCN4
FOX2,ABF1
FOX2,ADR1
FOX2,OAF1
FOX2,UME6
FPK1,RAP1
FPK1,SPT23
FPR1,DAL82
FPR1,YAP1
FPR4,TEC1
FPS1,MIG1
FRE1,AFT1
FRE1,AFT2
FRE1,MAC1
FRE1,MSN2
FRE1,RAP1
FRE1,SKN7
FRE1,YAP1
FRE3,STE12
FRE3,YOX1
FRE6,AFT1
FRE6,MSN2
FRE6,RAP1
FRQ1,CST6
FRQ1,ECM22
FRS1,BAS1
FRS1,PDR1
FRS2,ACE2
FRS2,GLN3
FRS2,MSN2
FRS2,RAP1
FRS2,TUP1
FRS2,YRM1
FRT1,STE12
FRT1,TEC1
FSF1,ADR1
FSF1,CBF1
FSF1,LEU3
FSF1,MSN2
FSH1,HSF1
FSH1,SKO1
FSH1,SOK2
FSH2,STE12
FSH3,RFX1
FTH1,AFT1
FTH1,AFT2
FTH1,HSF1
FTR1,AFT1
FTR1,AFT2
FTR1,MAC1
FTR1,MSN2
FTR1,PDR1
FTR1,SOK2
FTR1,SWI4
FTR1,TEC1
FTR1,TUP1
FUI1,DAL81
FUI1,MSN1
FUI1,MSN2
FUI1,RAP1
FUI1,SPT23
FUN19,SOK2
FUN26,MCM1
FUN26,SFP1
FUN26,SWI5
FUN30,STE12
FUR1,RAP1
FUR1,SWI5
FUR4,ABF1
FUR4,MSN1
FUR4,TEC1
FUS1,STE12
FUS1,TEC1
FUS2,STE12
FUS2,TEC1
FUS3,MSN2
FUS3,STE12
FUS3,TEC1
FYV4,STE12
FYV6,STE12
FYV6,TEC1
FYV7,MET28
FZO1,ABF1
FZO1,YAP1
GAD1,GCN4
GAL11,RAP1
GAP1,ABF1
GAP1,GLN3
GAP1,GZF3
GAP1,MSN2
GAP1,SKO1
GAP1,SOK2
GAP1,TEC1
GAP1,YAP1
GAP1,YAP6
GAR1,CBF1
GAS1,ASH1
GAS3,FKH1
GAS3,SWI6
GAT1,ACE2
GAT1,GCN4
GAT1,GLN3
GAT1,GZF3
GAT1,HAP2
GAT1,MSN2
GAT1,STE12
GAT1,SWI5
GAT1,UME6
GAT2,FLO8
GAT2,GCN4
GAT2,RAP1
GAT2,RIM101
GAT2,SKO1
GAT2,SOK2
GAT2,SWI4
GCD1,RPN4
GCD11,REB1
GCD6,STE12
GCD6,TEC1
GCN1,ABF1
GCN1,RPN4
GCN1,STE12
GCN2,ABF1
GCN20,STE12
GCN4,GLN3
GCN4,STP1
GCR1,RAP1
GCR1,RFX1
GCS1,PHO2
GCV1,BAS1
GCV2,AFT1
GCV2,BAS1
GCV2,GCN4
GCV2,YAP1
GCV3,ABF1
GCV3,BAS1
GCV3,YAP1
GCY1,CIN5
GCY1,REB1
GDA1,BAS1
GDB1,CIN5
GDB1,PDR1
GDB1,SPT23
GDE1,PHO4
GDH1,CIN5
GDH1,GLN3
GDH1,HAP2
GDH1,LEU3
GDH1,MSN2
GDH1,SOK2
GDH2,GAT1
GDH2,GCN4
GDH2,GLN3
GDH2,MSN2
GDH3,ARR1
GDH3,CAD1
GDH3,MAL33
GDH3,SKN7
GDH3,SOK2
GDH3,SWI5
GDH3,YOX1
GDI1,MSN2
GDS1,MCM1
GDS1,RAP1
GEA2,RPN4
GEA2,YRM1
GEF1,STE12
GFA1,MCM1
GFA1,MSN2
GFA1,SWI4
GFA1,TEC1
GFD1,MSN2
GGC1,CBF1
GGC1,GCN4
GGC1,STB5
GIC1,STE12
GIC2,ASH1
GIC2,FHL1
GIC2,PHD1
GIC2,RAP1
GIC2,RLM1
GIC2,SKN7
GIC2,SOK2
GIC2,SWI4
GIC2,TEC1
GID7,STE12
GID8,GCN4
GID8,MSN2
GID8,SKN7
GID8,SOK2
GIM3,RAP1
GIM5,CIN5
GIR2,SFP1
GIS1,MSN2
GIS1,RDS2
GIS2,ABF1
GIS3,RAP1
GIS3,STE12
GIS3,STP1
GIS4,YOX1
GLC3,MSN2
GLC3,OAF1
GLC3,SOK2
GLC7,MCM1
GLK1,GCR1
GLK1,MSN2
GLK1,PDR3
GLK1,RAP1
GLN1,FKH1
GLN1,GLN3
GLN1,MSN1
GLN1,RAP1
GLN1,SOK2
GLN1,YHP1
GLN1,YOX1
GLN3,GCN4
GLO1,ABF1
GLO1,ACE2
GLO1,MSN2
GLO1,SOK2
GLO4,STE12
GLR1,YAP1
GLT1,ABF1
GLT1,GCN4
GLT1,GLN3
GLT1,HAP2
GLT1,MSN2
GLT1,YAP1
GLY1,BAS1
GLY1,CBF1
GLY1,CIN5
GLY1,GCN4
GLY1,MCM1
GLY1,MET4
GLY1,MSN2
GLY1,PDR1
GLY1,RAP1
GLY1,SOK2
GLY1,STP1
GLY1,YAP1
GMH1,ABF1
GND1,CIN5
GND1,RAP1
GND1,SUM1
GND1,YAP1
GND2,CAD1
GND2,CIN5
GND2,MSN2
GNP1,FLO8
GNP1,GCN4
GNP1,SOK2
GNP1,TEC1
GON7,ABF1
GOR1,STB5
GOS1,REB1
GPA1,DIG1
GPA1,SOK2
GPA1,STE12
GPA1,TEC1
GPA2,SOK2
GPD1,HOT1
GPD1,MSN1
GPD1,MSN2
GPD1,PHO4
GPD1,RAP1
GPD1,SKO1
GPD2,GCN4
GPD2,RAP1
GPH1,CIN5
GPH1,MAC1
GPH1,MSN2
GPI12,UME6
GPI17,ABF1
GPM1,GCR1
GPM1,GCR2
GPM1,HSF1
GPM1,MSN2
GPM1,RAP1
GPM1,STE12
GPM2,CIN5
GPM2,GCN4
GPM2,RAP1
GPM2,SOK2
GPT2,MSN2
GPT2,YAP1
GPX1,CIN5
GPX1,RPN4
GPX1,SFP1
GPX1,STE12
GPX2,CRZ1
GPX2,HAP3
GPX2,MSN2
GPX2,SKN7
GPX2,YAP1
GRE2,PDR1
GRE2,SKO1
GRE2,SOK2
GRE2,YAP1
GRE3,HSF1
GRE3,MSN2
GRH1,ABF1
GRS1,SFP1
GRS2,BAS1
GRX2,MSN2
GRX2,YAP1
GRX3,SOK2
GRX6,MSN2
GRX7,STE12
GSC2,CBF1
GSC2,MSN2
GSC2,RAP1
GSC2,STE12
GSC2,SWI4
GSC2,TEC1
GSF2,RPN4
GSH1,BAS1
GSH1,CBF1
GSH1,CIN5
GSH1,FKH1
GSH1,MET4
GSH1,MSN2
GSH1,SKN7
GSH1,YAP1
GSH2,YAP1
GSM1,STE12
GSM1,UME6
GSP1,HSF1
GSY1,IXR1
GSY1,MSN2
GSY1,NRG1
GSY2,CBF1
GSY2,IXR1
GSY2,MSN2
GSY2,YAP1
GTO1,MSN2
GTO1,YAP1
GTR1,YAP1
GTT1,SOK2
GTT2,STE12
GTT2,YAP1
GTT3,ABF1
GTT3,MSN2
GTT3,RAP1
GUA1,ABF1
GUA1,CBF1
GUF1,ACE2
GUP1,RAP1
GUT1,ADR1
GUT1,RAP1
GUT2,ADR1
GUT2,FHL1
GVP36,ABF1
GYL1,YAP6
GYP1,HCM1
GYP1,SFP1
GYP1,SOK2
GYP5,STE12
GYP8,MCM1
GYP8,STE12
GYP8,YAP1
GZF3,GAT1
HAA1,MSN2
HAA1,RAP1
HAA1,STE12
HAC1,CBF1
HAC1,MSN2
HAC1,STE12
HAL5,MSN2
HAL5,YRM1
HAP1,ABF1
HAP1,HAP1
HAP1,RAP1
HAP1,SOK2
HAP1,STE12
HAP1,YAP1
HAS1,MSN2
HAT2,IXR1
HAT2,RAP1
HBN1,YAP1
HCH1,HSF1
HCM1,FLO8
HCM1,MBP1
HCM1,RAP1
HCM1,SWI4
HCR1,AFT2
HCS1,RAP1
HDA3,CIN5
HEK2,ABF1
HEK2,HCM1
HEK2,HSF1
HEK2,MSN2
HEK2,SKN7
HEK2,YAP1
HEK2,YOX1
HEM1,HAP2
HEM1,HAP3
HEM1,MSN2
HEM1,STB5
HEM12,MSN2
HEM12,STP1
HEM13,MOT3
HEM13,RAP1
HEM13,ROX1
HEM13,STE12
HEM2,CBF1
HEM3,MSN2
HEM3,STE12
HEM4,CIN5
HER1,MSN2
HER1,YAP1
HFD1,SPT23
HFI1,ABF1
HGH1,AFT1
HHF1,FKH2
HHF1,HIR2
HHF1,HSF1
HHF2,HIR2
HHF2,MET4
HHF2,SWI4
HHF2,YAP1
HHF2,YOX1
HHO1,SPT23
HHO1,SWI4
HHO1,SWI6
HHT1,FKH2
HHT1,HIR2
HHT1,MSN2
HHT2,HIR2
HHT2,SWI4
HHT2,SWI6
HHT2,YOX1
HIP1,SFP1
HIP1,STE12
HIR2,SOK2
HIS1,CBF1
HIS1,GCN4
HIS1,MSN2
HIS1,PHO4
HIS1,SOK2
HIS1,TUP1
HIS2,STE12
HIS3,GCN4
HIS4,BAS1
HIS4,GCN4
HIS4,GLN3
HIS4,MSN2
HIS4,PHO2
HIS4,RAP1
HIS5,ABF1
HIS5,BAS1
HIS5,CBF1
HIS5,GCN4
HIS5,REB1
HIS5,SOK2
HIS6,NRG1
HIS7,ABF1
HIS7,BAS1
HIS7,CBF1
HIS7,GCN4
HIT1,SOK2
HLR1,TEC1
HMF1,CBF1
HMF1,RAP1
HMG1,HAP1
HMG1,MSN2
HMG1,SOK2
HMG2,ABF1
HMO1,ABF1
HMRA1,RAP1
HMS2,ABF1
HMS2,ACE2
HMS2,CBF1
HMS2,FHL1
HMS2,GCN4
HMS2,IFH1
HMS2,MSN2
HMS2,RAP1
HMS2,STE12
HMX1,AFT2
HMX1,HAP1
HNM1,MAC1
HNT1,ABF1
HOC1,RAP1
HOF1,ABF1
HOG1,PHD1
HOG1,RAP1
HOG1,YAP1
HOM2,ACE2
HOM2,HSF1
HOM2,REB1
HOM2,STB5
HOM3,GCN4
HOM6,RAP1
HOR2,HOT1
HOR2,MSN2
HOR2,RAP1
HOR2,SOK2
HOR7,GCN4
HOR7,HSF1
HOR7,MSN2
HOR7,PDR1
HOR7,PDR3
HOR7,SKN7
HOR7,SOK2
HOR7,TEC1
HOS2,STE12
HOS2,TEC1
HOS3,FKH1
HOS3,MSN2
HOS3,STE12
HOS4,SOK2
HOT13,ACE2
HOT13,RAP1
HPA3,SOK2
HPF1,ADR1
HPF1,MSN2
HPF1,STE12
HPF1,SWI4
HPF1,ZAP1
HPT1,YAP1
HRB1,ABF1
HRB1,GCN4
HRP1,STE12
HRR25,CBF1
HSC82,AFT1
HSC82,BAS1
HSC82,HSF1
HSC82,MSN2
HSC82,REB1
HSC82,SFP1
HSC82,YAP6
HSL1,CIN5
HSL1,MSN2
HSL1,STE12
HSL1,TEC1
HSL7,TEC1
HSL7,TYE7
HSP10,CIN5
HSP10,HSF1
HSP104,FKH1
HSP104,HSF1
HSP104,MSN2
HSP104,SKO1
HSP104,YAP1
HSP12,ADR1
HSP12,HOT1
HSP12,HSF1
HSP12,INO4
HSP12,MCM1
HSP12,MSN1
HSP12,MSN2
HSP12,RAP1
HSP12,SKN7
HSP12,SOK2
HSP12,STE12
HSP12,SWI4
HSP12,SWI5
HSP12,TEC1
HSP12,YAP1
HSP12,YOX1
HSP150,ABF1
HSP150,ACE2
HSP150,RLM1
HSP150,SWI5
HSP150,YAP1
HSP26,CAD1
HSP26,HSF1
HSP26,MSN2
HSP26,RIM101
HSP26,SOK2
HSP26,STE12
HSP26,YAP1
HSP26,ZAP1
HSP31,CIN5
HSP31,GCN4
HSP31,MSN2
HSP31,YAP1
HSP42,HSF1
HSP42,MSN2
HSP42,RTG3
HSP42,TEC1
HSP60,ABF1
HSP60,HSF1
HSP60,STE12
HSP78,GCN4
HSP78,HSF1
HSP78,MSN2
HSP78,PDR1
HSP78,SOK2
HSP78,TUP1
HSP78,YAP1
HSP82,ABF1
HSP82,HSF1
HSP82,MSN2
HSP82,PHO2
HSP82,SUM1
HSP82,YAP1
HST2,MBP1
HST2,SOK2
HST3,IXR1
HSV2,RPN4
HSV2,YAP1
HTA1,HIR1
HTA1,SWI4
HTA1,SWI6
HTA2,CIN5
HTA2,MBP1
HTA2,SWI4
HTB1,HIR2
HTB1,SWI4
HTB2,MBP1
HTB2,MSN2
HTB2,SWI6
HTZ1,MCM1
HUA1,ABF1
HXK1,INO4
HXK1,PDR1
HXK1,RAP1
HXK1,SOK2
HXK1,TEC1
HXK2,ABF1
HXK2,CRZ1
HXK2,MIG1
HXK2,RGT1
HXK2,SWI4
HXT1,MSN2
HXT1,RFX1
HXT1,RGT1
HXT1,SKO1
HXT2,ADR1
HXT2,RGT1
HXT2,SOK2
HXT2,STE12
HXT3,PDR1
HXT3,PDR3
HXT3,RGT1
HXT3,SOK2
HXT3,SWI5
HXT4,GCR1
HXT4,MSN2
HXT4,RGT1
HXT4,SOK2
HXT4,TEC1
HXT7,CRZ1
HXT7,PDR1
HXT7,PHO4
HXT7,SOK2
HXT7,TEC1
HXT7,TUP1
HYM1,STE12
HYP2,ABF1
HYP2,HAP1
HYP2,RAP1
IAH1,INO4
IBA57,CIN5
IBA57,FHL1
IBA57,IFH1
IBA57,YAP1
ICE2,UME6
ICL2,ADR1
ICL2,STE12
ICP55,ACE2
ICP55,YAP1
ICT1,MSN2
ICT1,PDR1
ICT1,PDR3
ICT1,STE12
ICY1,ADR1
ICY1,CIN5
ICY1,GCN4
ICY1,MSN2
ICY1,NRG1
ICY1,PDR3
ICY1,SKN7
ICY1,SOK2
ICY1,STE12
ICY1,SWI4
ICY1,TEC1
ICY1,UME6
ICY2,CBF1
ICY2,GCN4
ICY2,MSN2
ICY2,RAP1
ICY2,SKO1
ICY2,YAP1
IDH1,ABF1
IDH1,CBF1
IDH1,MOT3
IDH1,MSN2
IDH1,ROX1
IDH1,RTG3
IDH2,MSN2
IDH2,NRG1
IDH2,RTG3
IDI1,MSN2
IDP1,GCN4
IDP1,LEU3
IES1,CIN5
IES1,RAP1
IES1,YRM1
IES5,BAS1
IES5,MET31
IES6,SOK2
IES6,STE12
IFA38,ABF1
IFA38,ACE2
IKI3,YOX1
IKS1,YAP1
ILM1,MSN2
ILS1,GCN4
ILV1,GCN4
ILV2,GCN4
ILV2,HSF1
ILV2,LEU3
ILV2,RAP1
ILV3,GCN4
ILV3,LEU3
ILV3,STE12
ILV5,GCN4
ILV5,MSN2
ILV5,STE12
ILV6,STE12
IMD2,RAP1
IMD3,CIN5
IMD4,STE12
IMD4,YRM1
IME4,ABF1
IME4,TEC1
IML1,SOK2
IML2,MSN2
IML2,PDR3
INH1,MSN2
INH1,PHO4
INP51,STE12
INP52,STE12
INP53,STE12
IOC2,ABF1
IOC3,ABF1
IOC3,YRM1
IOC4,HAP2
IPP1,ABF1
IPP1,RAP1
IPT1,ABF1
IPT1,CBF1
IPT1,OAF1
IPT1,PDR1
IPT1,PDR3
IPT1,SOK2
IPT1,TUP1
IQG1,YHP1
IRA1,STE12
IRA2,CIN5
IRA2,HSF1
IRA2,MSN2
IRA2,STE12
IRA2,TEC1
IRC18,ABF1
IRC18,SUM1
IRC22,RAP1
IRC3,ACA1
IRC3,YOX1
IRC5,RAP1
IRC5,STE12
ISA1,GCN4
ISA1,HAP2
ISC1,RAP1
ISD11,STE12
ISM1,YOX1
ISR1,ACE2
ISR1,SWI5
ISU1,ADR1
ISU1,AFT2
ISU1,GCN4
ISU1,MET32
ISU1,RAP1
ISU1,SKO1
ISU1,SOK2
ISU1,STE12
ISU2,AFT2
ISU2,MSN2
ISU2,NRG1
ISU2,PHD1
ISU2,YAP1
ISW2,ABF1
ITC1,ACE2
ITR1,INO4
ITR1,OPI1
IXR1,CIN5
IXR1,RDS2
IXR1,ROX1
IXR1,SKN7
IXR1,SOK2
IXR1,STE12
IXR1,TEC1
IZH1,MSN2
IZH2,OAF1
IZH3,RAP1
IZH3,SOK2
IZH3,TEC1
IZH3,YOX1
IZH3,YRM1
JEN1,ABF1
JEN1,ADR1
JEN1,BAS1
JEN1,MSN2
JHD2,MSN2
JIP4,FHL1
JIP4,MSN2
JJJ2,STE12
JSN1,ASH1
JSN1,RAP1
JSN1,STE12
KAE1,CIN5
KAE1,STE12
KAP123,MCM1
KAR2,HAC1
KAR2,HSF1
KAR2,SFP1
KAR3,STE12
KAR4,MCM1
KAR4,RPN4
KAR4,STE12
KAR5,GCN4
KAR5,STE12
KAR5,TEC1
KDX1,RAP1
KDX1,RLM1
KDX1,SFP1
KEG1,HAC1
KEL1,YRM1
KEL2,ABF1
KEL2,YAP1
KEX1,CIN5
KGD1,AFT1
KIC1,MET32
KIN1,SOK2
KIN1,SPT23
KIN2,UME6
KIN3,MCM1
KIN3,YHP1
KIN3,YOX1
KIN4,YOX1
KIP1,STE12
KNS1,FHL1
KNS1,MSN2
KNS1,RAP1
KOG1,STE12
KRE1,ABF1
KRE2,PHO4
KRE33,MSN2
KRE33,TEC1
KRE6,CIN5
KRE6,MAC1
KRE6,MSN2
KRE9,ABF1
KRR1,FKH2
KRR1,HSF1
KRS1,STE12
KTI12,CBF1
KTI12,TEC1
KTR2,MSN2
KTR2,STE12
KTR2,TEC1
KTR2,YAP1
KTR4,ABF1
KXD1,PHO4
LAC1,ABF1
LAC1,CBF1
LAC1,MSN2
LAC1,PDR1
LAC1,PDR3
LAC1,ROX1
LAC1,SKN7
LAG2,ABF1
LAG2,STE12
LAP3,CIN5
LAP3,GCN4
LAP3,MSN2
LAP3,SWI5
